unity_time;FPS
39.800;67.45
39.900;66.39
40.000;69.80
40.100;78.64
40.200;76.29
40.300;81.68
40.400;74.60
40.500;76.66
40.600;75.61
40.700;69.91
40.800;64.97
40.900;59.40
41.000;55.37
41.100;61.73
41.200;76.74
41.300;80.34
41.400;81.44
41.500;80.03
41.600;79.53
41.700;93.75
41.800;87.68
41.900;91.23
42.000;88.70
42.100;87.56
42.200;81.45
42.300;80.06
42.400;86.60
42.500;89.99
42.600;91.60
42.700;90.38
42.800;91.09
42.900;90.76
43.000;90.28
43.100;87.13
43.200;84.33
43.300;86.57
43.400;85.48
43.500;86.75
43.600;86.08
43.700;85.25
43.800;87.20
43.900;87.02
44.000;81.84
44.100;78.61
44.200;86.80
44.300;85.02
44.400;87.40
44.500;90.57
44.600;91.61
44.700;89.51
44.800;86.52
44.900;89.00
45.000;90.07
45.100;80.43
45.200;73.29
45.300;66.69
45.400;68.74
45.500;77.53
45.600;86.01
45.700;89.01
45.800;90.31
45.900;91.01
46.000;84.98
46.100;86.00
46.200;80.85
46.300;86.33
46.400;83.66
46.500;74.21
46.600;64.28
46.700;67.49
46.800;77.56
46.900;83.44
47.000;84.15
47.100;83.33
47.200;81.93
47.300;81.63
47.400;83.42
47.500;89.01
47.600;88.29
47.700;90.75
47.800;82.73
47.900;84.27
48.000;81.25
48.100;78.05
48.200;74.91
48.300;75.17
48.400;76.35
48.500;81.22
48.600;82.57
48.700;85.70
48.800;85.34
48.900;82.86
49.000;76.53
49.100;81.91
49.200;84.86
49.300;79.23
49.400;79.49
49.500;85.36
49.600;81.98
49.700;88.54
49.800;88.40
49.900;90.65
50.000;89.29
50.100;87.14
50.200;88.38
50.300;87.38
50.400;87.26
50.500;88.77
50.600;91.18
50.700;89.16
50.800;88.54
50.900;83.33
51.000;85.25
51.100;88.70
51.200;81.95
51.300;87.29
51.400;81.28
51.500;83.95
51.600;89.99
51.700;91.09
51.800;91.60
51.900;92.00
52.000;88.73
52.100;88.72
52.200;89.80
52.300;87.16
52.400;84.57
52.500;80.48
52.600;81.51
52.700;83.41
52.800;83.86
52.900;86.50
53.000;85.80
53.100;82.94
53.200;83.21
53.300;80.91
53.400;81.51
53.500;82.87
53.600;85.12
53.700;85.27
53.800;85.01
53.900;86.11
54.000;85.04
54.100;76.71
54.200;80.57
54.300;78.59
54.400;81.81
54.500;85.35
54.600;87.89
54.700;84.91
54.800;83.39
54.900;82.89
55.000;78.32
55.100;72.93
55.200;73.59
55.300;70.35
55.400;65.34
55.500;75.67
55.600;82.06
55.700;83.24
55.800;83.44
55.900;83.30
56.000;82.01
56.100;78.91
56.200;78.78
56.300;82.89
56.400;83.50
56.500;87.42
56.600;85.05
56.700;88.53
56.800;84.62
56.900;75.51
57.000;71.51
57.100;71.74
57.200;71.52
57.300;76.12
57.400;78.57
57.500;80.71
57.600;81.62
57.700;84.84
57.800;84.17
