Time(s);RTF
39.80;1.08
39.90;0.85
40.00;1.22
40.10;1.02
40.20;0.98
40.30;1.05
40.40;0.96
40.50;0.98
40.60;1.02
40.70;0.95
40.80;0.96
40.90;1.02
41.00;1.05
41.10;1.11
41.20;0.95
41.30;1.04
41.40;0.99
41.50;0.97
41.60;0.98
41.70;1.08
41.80;0.97
41.90;1.02
42.00;1.03
42.10;0.91
42.20;0.99
42.30;1.08
42.40;1.01
42.50;1.01
42.60;1.00
42.70;0.96
42.80;1.03
42.90;1.02
43.00;0.98
43.10;1.01
43.20;0.99
43.30;1.02
43.40;1.00
43.50;1.01
43.60;1.00
43.70;1.00
43.80;1.00
43.90;0.97
44.00;1.02
44.10;1.00
44.20;1.02
44.30;0.98
44.40;1.02
44.50;0.98
44.60;0.99
44.70;1.02
44.80;1.00
44.90;1.01
45.00;0.97
45.10;0.96
45.20;1.01
45.30;0.92
45.40;1.04
45.50;1.14
45.60;0.97
45.70;1.03
45.80;0.98
45.90;0.99
46.00;1.01
46.10;0.98
46.20;0.93
46.30;1.12
46.40;0.97
46.50;0.91
46.60;1.07
46.70;0.96
46.80;1.04
46.90;1.06
47.00;0.98
47.10;1.00
47.20;0.97
47.30;1.02
47.40;1.04
47.50;0.97
47.60;0.97
47.70;1.03
47.80;1.00
47.90;1.00
48.00;0.91
48.10;1.03
48.20;1.05
48.30;0.94
48.40;1.00
48.50;1.04
48.60;0.97
48.70;1.02
48.80;1.04
48.90;0.93
49.00;1.00
49.10;1.05
49.20;0.96
49.30;0.96
49.40;1.00
49.50;1.01
49.60;1.05
49.70;0.95
49.80;1.01
49.90;1.04
50.00;0.97
50.10;0.98
50.20;1.08
50.30;0.93
50.40;1.02
50.50;1.05
50.60;1.00
50.70;0.95
50.80;1.03
50.90;0.99
51.00;1.00
51.10;0.99
51.20;1.01
51.30;1.00
51.40;0.97
51.50;1.04
51.60;1.07
51.70;1.01
51.80;0.95
51.90;1.02
52.00;1.00
52.10;1.00
52.20;1.01
52.30;0.99
52.40;1.00
52.50;0.96
52.60;1.06
52.70;0.99
52.80;0.99
52.90;0.98
53.00;1.02
53.10;1.00
53.20;1.00
53.30;0.98
53.40;1.02
53.50;1.01
53.60;1.01
53.70;0.99
53.80;1.00
53.90;1.01
54.00;0.99
54.10;0.97
54.20;1.03
54.30;0.97
54.40;1.03
54.50;1.02
54.60;0.98
54.70;0.97
54.80;1.04
54.90;1.00
55.00;0.90
55.10;1.07
55.20;0.93
55.30;1.01
55.40;1.04
55.50;1.03
55.60;1.01
55.70;0.97
55.80;1.01
55.90;1.02
56.00;0.98
56.10;1.00
56.20;0.99
56.30;1.02
56.40;1.00
56.50;1.02
56.60;1.03
56.70;0.97
56.80;1.00
56.90;0.90
57.00;0.99
57.10;1.05
57.20;1.01
57.30;1.09
57.40;1.00
57.50;0.99
57.60;1.00
57.70;0.98
57.80;1.00
57.90;0.97
58.00;0.97
58.10;1.07
58.20;1.00
58.30;1.01
58.40;0.93
58.50;1.08
58.60;0.99
58.70;1.01
58.80;0.97
58.90;1.01
59.00;1.03
59.10;0.97
59.20;1.00
59.30;1.03
59.40;0.90
59.50;1.13
59.60;0.91
59.70;1.08
59.80;0.99
59.90;0.97
60.00;1.01
60.10;0.99
60.20;0.99
60.30;1.02
60.40;1.02
60.50;0.97
60.60;1.00
60.70;0.99
60.80;1.03
60.90;0.95
61.00;1.10
61.10;0.97
61.20;0.98
61.30;0.91
61.40;1.09
61.50;0.99
61.60;0.99
61.70;1.04
61.80;0.96
61.90;1.00
62.00;1.03
62.10;0.97
62.20;1.03
62.30;0.99
62.40;1.02
62.50;0.91
62.60;1.10
62.70;1.02
62.80;1.01
62.90;0.96
63.00;0.90
63.10;1.12
63.20;1.00
63.30;0.86
63.40;1.22
63.50;1.03
63.60;0.99
63.70;1.01
63.80;0.99
63.90;0.99
64.00;1.00
64.10;1.00
64.20;1.04
64.30;1.00
64.40;0.98
64.50;1.02
64.60;0.99
64.70;1.00
64.80;1.02
64.90;0.97
65.00;0.97
65.10;1.03
65.20;1.01
65.30;0.97
65.40;1.02
65.50;1.04
65.60;0.99
65.70;0.99
65.80;1.00
65.90;0.97
66.00;1.02
66.10;1.02
66.20;0.98
66.30;1.03
66.40;1.02
66.50;1.01
66.60;0.94
66.70;1.14
66.80;0.99
66.90;0.95
67.00;1.00
67.10;0.98
67.20;1.02
67.30;0.98
67.40;0.92
67.50;1.07
67.60;1.05
67.70;0.97
67.80;1.03
67.90;0.98
68.00;1.03
68.10;0.98
68.20;0.99
68.30;1.01
68.40;0.88
68.50;1.14
68.60;1.03
68.70;0.97
68.80;1.02
68.90;0.97
69.00;1.01
69.10;1.02
69.20;0.97
69.30;1.03
69.40;0.99
69.50;1.03
69.60;0.87
69.70;1.14
69.80;0.99
69.90;0.97
70.00;1.00
70.10;1.03
70.20;0.98
70.30;0.99
70.40;1.02
70.50;0.96
70.60;1.03
70.70;0.96
70.80;1.07
70.90;0.96
71.00;1.02
71.10;1.00
71.20;1.01
71.30;0.94
71.40;0.98
71.50;1.00
71.60;1.05
71.70;0.92
71.80;1.09
71.90;1.07
72.00;0.93
72.10;1.03
72.20;1.00
72.30;0.97
72.40;1.03
72.50;1.00
72.60;1.01
72.70;1.00
72.80;1.00
72.90;1.01
73.00;0.97
73.10;1.01
73.20;1.02
73.30;0.96
73.40;1.04
73.50;0.97
73.60;1.02
73.70;0.98
73.80;1.00
73.90;1.00
74.00;1.02
74.10;1.01
74.20;1.00
74.30;0.98
74.40;1.04
74.50;0.99
74.60;0.98
74.70;1.01
74.80;1.02
74.90;0.96
75.00;1.02
75.10;1.00
75.20;1.02
75.30;1.01
75.40;0.94
75.50;1.01
75.60;0.98
75.70;1.07
75.80;1.01
75.90;0.97
76.00;0.98
76.10;0.84
76.20;1.24
76.30;1.02
76.40;1.03
76.50;0.98
76.60;1.02
76.70;1.00
76.80;0.94
76.90;0.99
77.00;1.03
77.10;1.01
77.20;1.02
77.30;0.98
77.40;1.02
77.50;0.97
77.60;1.03
77.70;0.97
77.80;1.03
77.90;0.96
78.00;1.02
78.10;1.00
78.20;1.03
78.30;0.90
78.40;1.11
78.50;0.98
78.60;1.02
78.70;1.00
78.80;0.94
78.90;1.06
79.00;0.97
79.10;1.02
79.20;1.04
79.30;1.00
79.40;0.96
79.50;1.03
79.60;0.99
79.70;0.99
79.80;1.05
79.90;0.99
80.00;0.98
80.10;1.00
80.20;1.01
80.30;1.00
80.40;0.91
80.50;1.07
80.60;1.03
80.70;1.01
80.80;0.96
80.90;1.00
81.00;0.99
81.10;1.02
81.20;0.96
81.30;1.02
81.40;1.00
81.50;1.02
81.60;0.90
81.70;0.99
81.80;1.03
81.90;1.04
82.00;1.04
82.10;0.99
82.20;1.00
82.30;1.01
82.40;0.96
82.50;1.03
82.60;0.98
82.70;0.98
82.80;1.02
82.90;0.95
83.00;1.05
83.10;0.99
83.20;1.04
83.30;0.98
83.40;0.99
83.50;0.99
83.60;0.96
83.70;1.08
83.80;1.03
83.90;0.94
84.00;1.03
84.10;0.99
84.20;0.99
84.30;0.92
84.40;1.07
84.50;1.02
84.60;1.02
84.70;0.98
84.80;1.01
84.90;1.00
85.00;1.00
85.10;0.97
85.20;1.07
85.30;0.93
85.40;1.05
85.50;1.00
85.60;1.02
85.70;0.98
85.80;1.03
85.90;0.97
86.00;1.00
86.10;1.02
86.20;1.00
86.30;0.96
86.40;1.01
86.50;1.04
86.60;0.99
86.70;0.91
86.80;1.14
86.90;0.98
87.00;0.95
87.10;1.06
87.20;0.91
87.30;1.00
87.40;0.95
87.50;1.03
87.60;0.99
87.70;0.99
87.80;1.06
87.90;0.97
88.00;1.00
88.10;1.03
88.20;1.07
88.30;0.99
88.40;1.01
88.50;0.95
88.60;1.04
88.70;0.99
88.80;1.00
88.90;0.97
89.00;0.92
89.10;1.16
89.20;1.00
89.30;0.91
89.40;0.96
89.50;1.05
89.60;1.04
89.70;1.01
89.80;1.02
89.90;0.99
90.00;1.03
90.10;0.97
90.20;1.02
90.30;0.99
90.40;0.91
90.50;1.14
90.60;0.97
90.70;0.96
90.80;1.08
90.90;0.89
91.00;1.03
91.10;0.83
91.20;1.20
91.30;1.04
91.40;1.01
91.50;1.01
91.60;1.13
91.70;0.98
91.80;1.04
91.90;0.93
92.00;1.01
92.10;1.07
92.20;0.93
92.30;0.99
92.40;1.01
92.50;0.98
92.60;0.84
92.70;1.18
92.80;1.02
92.90;0.97
93.00;1.07
93.10;0.89
93.20;0.99
93.30;1.09
93.40;1.05
93.50;1.11
93.60;1.10
93.70;0.98
93.80;0.84
93.90;1.10
94.00;0.98
94.10;1.00
94.20;0.98
94.30;1.04
94.40;0.94
94.50;1.08
94.60;0.97
94.70;1.03
94.80;1.07
94.90;0.98
95.00;1.01
95.10;0.98
95.20;0.95
95.30;1.09
95.40;0.97
95.50;1.02
95.60;1.02
95.70;0.99
95.80;0.99
95.90;1.00
96.00;1.01
96.10;0.90
96.20;1.04
96.30;1.03
96.40;1.09
96.50;0.99
96.60;0.99
96.70;0.98
96.80;1.00
96.90;1.01
97.00;1.00
97.10;1.00
97.20;0.98
97.30;0.97
97.40;1.04
97.50;1.00
97.60;0.99
97.70;1.04
97.80;0.96
97.90;1.02
98.00;0.97
98.10;0.93
98.20;0.94
98.30;0.97
98.40;1.02
98.50;0.97
98.60;1.10
98.70;1.10
98.80;0.97
98.90;1.01
99.00;0.99
99.10;1.05
99.20;0.82
99.30;0.87
99.40;0.99
99.50;1.09
99.60;0.98
99.70;1.18
99.80;1.00
99.90;0.87
100.00;1.11
100.10;0.91
100.20;1.15
100.30;1.19
100.40;1.01
100.50;0.89
100.60;1.14
100.70;0.97
100.80;1.01
100.90;1.04
